Country;Access Cost Code;Reporting Entity;Local Cost Center ID;Local Cost Center name;Internal Cost Center Id;Hourly labor rate;Hourly labor rate date;Last update date;Yearly Projects hours;Growth Index;Monthly labor rate;Monthly labor rate date;Global Cost Center Id;RE global cost center;Global Cost Center name;Global Profit center ID;Global Profit center name;Labor rate currency;Action
US_United-States;Non Eng NA SAP;US0107_T-EM US;9999-US013067_13-02-2019-mc-V2;US0107_T-EM US_9999-US013067_13-02-2019-mc-V2;US0107_T-EM US_9999-US013067_13-02-2019-mc-V2;60;20190101;20190213;1577;1.03;7885;20190213;45652;FR0127;TEST MC PM RC ENG TECH P-HCC;165.72;Metering & Quality;USD;Creation
US_United-States;Eng NA SAP;US0105;9999-US018029_13-02-2019-mc-V2;US0105_9999-US018029_13-02-2019-mc-V2;US0105_9999-US018029_13-02-2019-mc-V2;99.67;20190101;20190213;1480;1.03;12292.63;20190213;49591;FR0127;TEST MC  A&I Cyber Security;165.12;Strategy & Innovation;USD;Creation
US_United-States;Eng NA SAP;US0105_T-Partner US;9999-US018029_13-02-2019-mc-V2;US0105_T-Partner US_9999-US018029_13-02-2019-mc-V2;US0105_T-Partner US_9999-US018029_13-02-2019-mc-V2;99.67;20190101;20190213;1480;1.03;12292.63;20190213;49591;FR0127;TEST MCA&I Cyber Security;165.12;Strategy & Innovation;USD;Creation
US_United-States;Non Eng NA SAP;US0107;9999-US018029_13-02-2019-mc-V2;US0107_9999-US018029_13-02-2019-mc-V2;US0107_9999-US018029_13-02-2019-mc-V2;99.67;20190101;20190213;1480;1.03;12292.63;20190213;49591;FR0127;TEST MCA&I Cyber Security;165.12;Strategy & Innovation;USD;Creation
US_United-States;Non Eng NA SAP;US0107_T-EM US;9999-US018029_13-02-2019-mc-V2;US0107_T-EM US_9999-US018029_13-02-2019-mc-V2;US0107_T-EM US_9999-US018029_13-02-2019-mc-V2;99.67;20190101;20190213;1480;1.03;12292.63;20190213;49591;FR0127;TEST MCA&I Cyber Security;165.12;Strategy & Innovation;USD;Creation
US_United-States;Non Eng NA SAP;US0107;9999-US018030_13-02-2019-mc-V2;US0107_9999-US018030_13-02-2019-mc-V2;US0107_9999-US018030_13-02-2019-mc-V2;74;20190101;20190213;1577;1.03;9724.83;20190213;49596;FR0127;TEST MCPM RC PROJ MANGT-HCC;165.72;Metering & Quality;USD;Creation
US_United-States;Non Eng NA SAP;US0107_T-EM US;9999-US018030_13-02-2019-mc-V2;US0107_T-EM US_9999-US018030_13-02-2019-mc-V2;US0107_T-EM US_9999-US018030_13-02-2019-mc-V2;74;20190101;20190213;1577;1.03;9724.83;20190213;49596;TEST MCFR0127;PM RC PROJ MANGT-HCC;165.72;Metering & Quality;kUSD;Creation
US_United-States;Non Eng NA SAP;US0107;9999-US018031_13-02-2019-mc-V2;US0107_9999-US018031_13-02-2019-mc-V2;US0107_9999-US018031_13-02-2019-mc-V2;66;20190101;20190213;1489;1.03;8189.5;20190213;50421;FR0127;TEST MC RC ENG HARDWARE-HCC;165.72;Metering & Quality;kEUR;Creation
